"","SN","number.leaves","Learning.Rate","number.iteration","maximum.bin","maximum.depth","acu","precision","recall","fscore","corr","training.error","test.error"
"69",68,139,0.058214,10,3,5,0.824098423619629,0.905119047619048,0.229370629370629,0.363880563234557,0.545865453876688,0.160984041992537,0.195645830995399
"70",69,65,0.058214,10,3,5,0.809607622645158,0.865703965796845,0.247599067599068,0.382076803023496,0.534047863879775,0.159854769347414,0.195644675162668
"71",70,30,0.058214,10,3,5,0.822160760278094,0.950992063492064,0.223356643356643,0.360567241059138,0.540462644091783,0.159482049876679,0.193390191897655
"72",71,601,0.058214,10,4,4,0.820065809106743,0.945195094760312,0.210675990675991,0.33933579250033,0.55049097676861,0.179348161187982,0.197173778820689
"73",72,289,0.058214,10,4,4,0.813853931891467,0.91,0.174358974358974,0.292000729672282,0.532601254914643,0.178789171217121,0.206880777324831
"74",73,139,0.058214,10,4,4,0.817084374912807,0.921568627450981,0.195617715617716,0.320581522007888,0.542860461042254,0.178414528743386,0.201655257546852
"75",74,65,0.058214,10,4,4,0.81294531347509,0.977708978328173,0.193006993006993,0.317532625234808,0.532996622835367,0.172794383226983,0.199376060476531
"76",75,30,0.058214,10,4,4,0.814577299291353,0.921731601731602,0.192820512820513,0.31846210751274,0.548095372844399,0.181596231709665,0.201640063600221
"77",76,601,0.058214,10,4,5,0.80667777914416,0.849147992530345,0.211095571095571,0.337788189796222,0.527745264080378,0.159857874470408,0.202385176424207
"78",77,289,0.058214,10,4,5,0.823063494064676,0.971428571428572,0.198694638694639,0.329437165346559,0.556243084873623,0.1607929112999,0.197912692178207
"79",78,139,0.058214,10,4,5,0.808296763660293,0.866666666666666,0.168344988344988,0.277905820163126,0.533798940700221,0.162851025675468,0.210612057562992
"80",79,65,0.058214,10,4,5,0.816361711946166,0.942081447963801,0.21986013986014,0.348609638270296,0.550974976560958,0.161733166250715,0.196418011320436
"81",80,30,0.058214,10,4,5,0.820864578995213,0.815463601532567,0.223216783216783,0.341073355609207,0.550460918396096,0.164353013181389,0.206114880526824
"82",81,601,0.058214,11,3,4,0.818780504916163,0.958791866028708,0.232354312354312,0.371887725850574,0.536284851483667,0.163792213809589,0.190391709611106
"83",82,289,0.058214,11,3,4,0.820719410632223,0.931818181818182,0.207832167832168,0.33865367953914,0.544607146781374,0.165293324768594,0.197910506603588
"84",83,139,0.058214,11,3,4,0.828606756198008,0.927151259535068,0.25995337995338,0.39847241849923,0.548976834032838,0.158735683020404,0.187415167131311
"85",84,65,0.058214,11,3,4,0.825829728782293,0.945341614906832,0.254219114219114,0.39589052534333,0.555109340185336,0.164541979507808,0.187401086987131
"86",85,30,0.058214,11,3,4,0.830561731259234,0.927556561085973,0.232354312354312,0.368946810674726,0.558631011392327,0.161356406168712,0.192662584685763
"87",86,601,0.058214,11,3,5,0.829695233587653,0.911228070175439,0.272307692307692,0.414855612382356,0.551083015336666,0.148240824672724,0.18665132981708
"88",87,289,0.058214,11,3,5,0.829299600453731,0.871922043010753,0.284848484848485,0.419863953714821,0.550909246330424,0.146362668144797,0.188886290016505
"89",88,139,0.058214,11,3,5,0.829070829585829,0.892896948252985,0.2597668997669,0.391249153274385,0.546151286339939,0.140364012745374,0.193414380324449
"90",89,65,0.058214,11,3,5,0.80325993391532,0.894672342621259,0.217249417249417,0.34843073217057,0.509058513141774,0.147114539926439,0.198629770804674
"91",90,30,0.058214,11,3,5,0.82849346817575,0.862857142857143,0.265734265734266,0.401300165252459,0.561001063211712,0.142989774885959,0.191181122351409
"92",91,601,0.058214,11,4,4,0.828295319773079,0.929186602870813,0.207832167832168,0.338229379043016,0.56337031955496,0.160606060606061,0.198659570274
"93",92,289,0.058214,11,4,4,0.806463564840985,0.831924105306458,0.226526806526807,0.354231906691382,0.525848590230826,0.168661532354028,0.200111107048184
"94",93,139,0.058214,11,4,4,0.823913836848668,0.942338709677419,0.217342657342657,0.340541269459799,0.554888605160835,0.166418557461012,0.197886255131372
"95",94,65,0.058214,11,4,4,0.836803752705925,0.865714285714286,0.211002331002331,0.337405350966336,0.568294301000947,0.163977724657674,0.203145504209963
"96",95,30,0.058214,11,4,4,0.816586996242678,0.907518796992481,0.204755244755245,0.330217470584123,0.549287148029777,0.167918618341838,0.200902243030013
"97",96,601,0.058214,11,4,5,0.809111441568956,0.926735294117647,0.235384615384615,0.371092465198156,0.53969392369565,0.146926171245643,0.192664244881868
"98",97,289,0.058214,11,4,5,0.809582910070571,0.856853898789383,0.226293706293706,0.348530056441449,0.532885363092806,0.148801638532902,0.201644560840303
"99",98,139,0.058214,11,4,5,0.82184069153184,0.89452614379085,0.238648018648019,0.376221672918359,0.552056408373824,0.148052627218223,0.193408811312198
"100",99,65,0.058214,11,4,5,0.81663179980455,0.927777777777778,0.225780885780886,0.35499031653085,0.5485953535201,0.148050995299924,0.194905803835431
"101",100,30,0.058214,11,4,5,0.808720864623776,0.792635207929325,0.265967365967366,0.394437705131672,0.537049910763618,0.150297007483979,0.197920005447124
"102",101,601,0.058214,79,3,4,0.841812463680352,0.568001715798326,0.632913752913753,0.595462671601025,0.583153992259995,0.074206842759871,0.209140388284143
"103",102,289,0.058214,79,3,4,0.845478443366725,0.557048823864779,0.624195804195804,0.580152635904661,0.585956157301707,0.075712821484859,0.218898369519304
"104",103,139,0.058214,79,3,4,0.836885226984237,0.553954248366013,0.621585081585082,0.575052657571613,0.569080236051539,0.0777743261410584,0.222654951986708
"105",104,65,0.058214,79,3,4,0.845351678681071,0.551542352152128,0.66969696969697,0.602184585386767,0.583996058700186,0.0740262237153067,0.218801342615301
"106",105,30,0.058214,79,3,4,0.840783035823674,0.586010679552108,0.645501165501165,0.610076147327724,0.580330250159505,0.078524473805627,0.204672653459912
"107",106,601,0.058214,79,3,5,0.83093857950663,0.564068583256435,0.602237762237762,0.580865373342526,0.572184763984785,0.0416044649284656,0.21212993913595
"108",107,289,0.058214,79,3,5,0.834415735488589,0.552594703539927,0.626806526806527,0.587075476346334,0.573535561736323,0.0410412631200419,0.215889253571628
"109",108,139,0.058214,79,3,5,0.844397826694265,0.587003707744673,0.62997668997669,0.603234475226313,0.585538466866404,0.0414182494183229,0.205427433248558
"110",109,65,0.058214,79,3,5,0.837763751116788,0.554348615551309,0.624102564102564,0.585106787298092,0.579253817608321,0.0365444085240216,0.216653994536904
"111",110,30,0.058214,79,3,5,0.844263561832647,0.571713833515672,0.633286713286713,0.595085017602493,0.583348675194811,0.0391698321633935,0.207627003951267
"112",111,601,0.058214,79,4,4,0.839988934599545,0.562382669563356,0.651095571095571,0.598355524704865,0.578181386269894,0.0700925890381835,0.215089627473009
"113",112,289,0.058214,79,4,4,0.839955942781419,0.572442912274964,0.623636363636364,0.593803812322433,0.588830574051232,0.0702784518880159,0.209099829062847
"114",113,139,0.058214,79,4,4,0.833671645006062,0.527260013833868,0.645128205128205,0.57428364623467,0.577241588597207,0.0725254617945173,0.23235194728394
"115",114,65,0.058214,79,4,4,0.840187988948149,0.535031795836625,0.672867132867133,0.594166858042715,0.587308051818979,0.0772101243052189,0.225614409157221
"116",115,30,0.058214,79,4,4,0.840228106622373,0.559490250532224,0.648205128205128,0.581997934326108,0.581916767254145,0.0744007578554821,0.220364007452809
"117",116,601,0.058214,79,4,5,0.845330220737344,0.60923743690633,0.602564102564103,0.605097326972657,0.592645195717018,0.0391684129608374,0.191920813269128
"118",117,289,0.058214,79,4,5,0.843447175946068,0.582743097946713,0.605361305361305,0.59224006385925,0.599088539730118,0.0412294200729388,0.20388845247447
"119",118,139,0.058214,79,4,5,0.841212934152198,0.580267559479382,0.559020979020979,0.566048215749572,0.594858738708822,0.0384193614738348,0.207655164239628
"120",119,65,0.058214,79,4,5,0.836916040628173,0.547794828428561,0.569277389277389,0.551823861148339,0.577743754199114,0.039916613584869,0.218144829623951
"121",120,30,0.058214,79,4,5,0.838675565604781,0.581041666666667,0.574312354312354,0.563397499887667,0.576606473379457,0.0389790551189098,0.210679474133935
