"","SN","number.leaves","Learning.Rate","number.iteration","maximum.bin","maximum.depth","acu","precision","recall","fscore","corr","training.error","test.error"
"66",65,341,0.05,80,35,9,0.830424608476921,0.575307999272544,0.583962703962704,0.576409508332747,0.572349386949483,0.00412300931239886,0.209875813128326
"67",66,683,0.05,80,35,10,0.834685337649724,0.603606855431288,0.547226107226107,0.566661260699373,0.574705321713354,0.00337359594520856,0.203915330839256
"68",67,21,0.05,80,36,5,0.829765090171474,0.544254283955231,0.654358974358974,0.594107490108455,0.569107716991496,0.0492906199990191,0.21888269222444
"69",68,43,0.05,80,36,6,0.834445056445943,0.545114928599348,0.614685314685315,0.57706118263406,0.575898455734543,0.0251120611887437,0.221128664357523
"70",69,85,0.05,80,36,7,0.834314490002387,0.564995708981365,0.58979020979021,0.574388505551296,0.571785753994487,0.0114327072397777,0.213657277522164
"71",70,171,0.05,80,36,8,0.832471619148138,0.579056673865996,0.547226107226107,0.560159206468284,0.570114701026999,0.0069342796668176,0.209138013573259
"72",71,341,0.05,80,36,9,0.833496463308788,0.576797659414643,0.593613053613054,0.581091385393558,0.571183179342711,0.0041233619727092,0.209141901374264
"73",72,683,0.05,80,36,10,0.831690739682464,0.573440244706067,0.556317016317016,0.557995736776993,0.57022966688114,0.00337429994870389,0.212871731567725
"74",73,21,0.05,80,37,5,0.835502147229648,0.551559919683652,0.624009324009324,0.581876403008712,0.579420073520266,0.0462852485050347,0.217360565593087
"75",74,43,0.05,80,37,6,0.834501529372225,0.566070499517068,0.615058275058275,0.583518121538993,0.583918048284019,0.0247401721655366,0.215187957315728
"76",75,85,0.05,80,37,7,0.835560229960998,0.569055377434622,0.58997668997669,0.572982698354255,0.574952252494679,0.0131173928726146,0.212881629698933
"77",76,171,0.05,80,37,8,0.832674545296091,0.58667937406845,0.596410256410256,0.58385011666165,0.574071101277644,0.00693340641271581,0.20685669397374
"78",77,341,0.05,80,37,9,0.829104677402298,0.556981596403893,0.587086247086247,0.570827746174368,0.561455935585265,0.00505986706767601,0.215908965773481
"79",78,683,0.05,80,37,10,0.829481648509283,0.581980355972185,0.544475524475524,0.559252747320889,0.567969476240944,0.00412248410866872,0.20686667616551
"80",79,21,0.05,80,38,5,0.840241390384733,0.545096597562812,0.660512820512821,0.595746155803834,0.581966335863722,0.0462890961574403,0.220445504167933
"81",80,43,0.05,80,38,6,0.828414689919049,0.551561798953103,0.577575757575758,0.562166895166688,0.568518508485658,0.024737178339634,0.219664329362733
"82",81,85,0.05,80,38,7,0.829785150730917,0.553014274092975,0.609184149184149,0.578276091681326,0.572469077990096,0.0119943205950388,0.215904930866492
"83",82,171,0.05,80,38,8,0.835593017395884,0.577442136763402,0.580792540792541,0.569900909312674,0.579442358991893,0.0073088115020236,0.212942468530878
"84",83,341,0.05,80,38,9,0.842436070243075,0.579515490721983,0.553939393939394,0.559957065093787,0.579490358966463,0.00524713298527901,0.210657008948667
"85",84,683,0.05,80,38,10,0.832298139113567,0.57938362200527,0.571748251748252,0.573457767618092,0.569277200143859,0.00374795095633738,0.208377685787502
"86",85,21,0.05,80,39,5,0.841055971268769,0.536052587639402,0.678694638694639,0.594122053402978,0.583395749700537,0.0502220314410068,0.227161922078381
"87",86,43,0.05,80,39,6,0.823426731880995,0.532082202285101,0.620932400932401,0.572403855910705,0.560403807044756,0.0241773223588606,0.228612408095537
"88",87,85,0.05,80,39,7,0.837307232445403,0.555214420016497,0.621025641025641,0.584178410929947,0.578953768481978,0.0121819375265454,0.215138971023063
"89",88,171,0.05,80,39,8,0.826566086000104,0.576973778615365,0.599300699300699,0.577914742774999,0.567655449262798,0.00712189989113762,0.216548519546392
"90",89,341,0.05,80,39,9,0.824489739444668,0.538490320255887,0.531981351981352,0.530957587131842,0.564702697572465,0.00487295051757,0.227881501506575
"91",90,683,0.05,80,39,10,0.839239375143025,0.610786486341954,0.568484848484848,0.584791892597798,0.583286793719731,0.00318597769657656,0.197186787192701
"92",91,21,0.05,80,40,5,0.827655949291829,0.545599636670059,0.596317016317016,0.565874708776495,0.568199239867728,0.0457308128243252,0.221149616452669
"93",92,43,0.05,80,40,6,0.840662114431879,0.576980498264243,0.599487179487179,0.581029471978983,0.580343677465178,0.0215508562147805,0.212132460952818
"94",93,85,0.05,80,40,7,0.820266811985446,0.554420358411027,0.593473193473193,0.570693599721419,0.560770771272105,0.0119936185672314,0.217369265861282
"95",94,171,0.05,80,40,8,0.82943756028875,0.564053040763894,0.575011655011655,0.56804830436367,0.56196537554634,0.00599689934206099,0.213664569775941
"96",95,341,0.05,80,40,9,0.832497566633816,0.582407208618688,0.532494172494173,0.549337951661446,0.572869692326632,0.00374777643722956,0.208350849452997
"97",96,683,0.05,80,40,10,0.830844699854601,0.593405469916503,0.526060606060606,0.556572441777651,0.569605628976289,0.00299836175291391,0.204644787383518
"98",97,21,0.05,90,25,5,0.82708661222035,0.516708082152979,0.620932400932401,0.562680386614176,0.564701257799259,0.0401056200836115,0.235391850412548
"99",98,43,0.05,90,25,6,0.830275785328246,0.557012890232068,0.59011655011655,0.571071937235649,0.573775499642705,0.0183664580807704,0.215920187858545
"100",99,85,0.05,90,25,7,0.829028887963423,0.536581490581491,0.577855477855478,0.554069372773841,0.568154072886871,0.00805840498610443,0.227826630974552
"101",100,171,0.05,90,25,8,0.834502554733085,0.631260430390865,0.540979020979021,0.580636249254901,0.581946600454999,0.0059972480509953,0.191881388865422
"102",101,341,0.05,90,25,9,0.833294715235014,0.58229029029029,0.569044289044289,0.567881538644196,0.570493874703351,0.0035605118367519,0.210649758725171
"103",102,683,0.05,90,25,10,0.833966493090182,0.577549661393754,0.602657342657343,0.585987382018877,0.57604780707845,0.00299906542712791,0.208444619010212
"104",103,21,0.05,90,26,5,0.832137374472235,0.531895313668362,0.605407925407925,0.564126838960567,0.579476495630565,0.040478059006649,0.229358382540285
"105",104,43,0.05,90,26,6,0.826898609493556,0.57056710870002,0.608624708624709,0.583364916351984,0.573880196095144,0.0187408147383059,0.212850884548282
"106",105,85,0.05,90,26,7,0.8336014267328,0.566765271765272,0.599533799533799,0.579831350006933,0.575365648254078,0.0089943822430904,0.212918238073803
"107",106,171,0.05,90,26,8,0.831926657648543,0.573541295306001,0.580932400932401,0.572444368966674,0.564606749563272,0.00562201418798199,0.212928388386697
"108",107,341,0.05,90,26,9,0.821863934958364,0.567516546671719,0.544149184149184,0.552189035797493,0.549388914319266,0.00318580317746874,0.215173919201828
"109",108,683,0.05,90,26,10,0.836548263322314,0.608138927551095,0.55020979020979,0.565307024867819,0.577377979132772,0.00299871408394291,0.202423970373695
"110",109,21,0.05,90,27,5,0.841130521777781,0.518447154329507,0.657482517482518,0.578770946831692,0.588751237634623,0.0382306793172078,0.233890907042888
"111",110,43,0.05,90,27,6,0.834910509420632,0.54759677280866,0.642424242424242,0.590215444754685,0.580286358721632,0.0200527285446752,0.218158972813553
"112",111,85,0.05,90,27,7,0.837775693757665,0.585158834133288,0.577575757575758,0.578848790738192,0.585256328758811,0.00993264471254487,0.204633565298455
"113",112,171,0.05,90,27,8,0.840822651725563,0.588681547319421,0.611561771561772,0.594864244021232,0.59724581755437,0.0054349264115815,0.203904234845036
"114",113,341,0.05,90,27,9,0.838025888696792,0.609226254645936,0.596223776223776,0.601237412868698,0.585684624320353,0.0035608631799369,0.194961283806531
"115",114,683,0.05,90,27,10,0.834529216411882,0.604836940836941,0.498927738927739,0.540588937546032,0.572407165581512,0.00299871309609891,0.205419048207472
"116",115,21,0.05,90,28,5,0.83723106294556,0.537470508931581,0.654592074592075,0.588966996904882,0.589516409173629,0.0386043461303453,0.224123342903628
"117",116,43,0.05,90,28,6,0.83542063046718,0.557582904873625,0.645594405594406,0.593968257753538,0.582775179286833,0.0193013836131708,0.214402327300727
"118",117,85,0.05,90,28,7,0.838338475638609,0.601300327579397,0.571515151515152,0.581289646984211,0.586964160631834,0.010870203178504,0.200133572233451
"119",118,171,0.05,90,28,8,0.846809156231352,0.58529710649475,0.584428904428904,0.576667363779398,0.59559620131521,0.005809282081273,0.209122336278395
"120",119,341,0.05,90,28,9,0.840047806158343,0.600547945205479,0.541072261072261,0.560807837609808,0.57609763585275,0.00337306909507173,0.202397575357142
"121",120,683,0.05,90,28,10,0.827789612485933,0.579035535515652,0.55025641025641,0.563717909612915,0.568385939539656,0.00337324460202356,0.209164366559531
"122",121,21,0.05,90,29,5,0.829583460068165,0.542978827981299,0.608438228438228,0.572744063089502,0.5710577427999,0.0425429032341532,0.222611219479186
"123",122,43,0.05,90,29,6,0.824800717729637,0.526125594969355,0.586946386946387,0.553217522010698,0.557853430454101,0.0224891259284244,0.230860733924363
"124",123,85,0.05,90,29,7,0.833332642104624,0.577205777029847,0.568578088578089,0.564308345742308,0.569309148945339,0.00880764416346824,0.209130868425466
"125",124,171,0.05,90,29,8,0.837168960294422,0.588273478150453,0.578181818181818,0.580349033868799,0.570315810763595,0.00505933988825785,0.202422793525824
"126",125,341,0.05,90,29,9,0.835414301476072,0.558827380952381,0.55025641025641,0.553311616627341,0.571915000973563,0.00412283380544703,0.215896482779984
"127",126,683,0.05,90,29,10,0.838296881352888,0.589583009525276,0.537668997668998,0.555791852187732,0.575738350610318,0.00281109583531091,0.207686098526544
"128",127,21,0.05,90,30,5,0.834440670243833,0.558351148363371,0.638974358974359,0.594577229883013,0.573126714831023,0.0389795674806679,0.2128974120695
"129",128,43,0.05,90,30,6,0.840866118758833,0.594218292118272,0.586993006993007,0.583472370502138,0.587125886388855,0.0153665154481647,0.205430333337957
"130",129,85,0.05,90,30,7,0.825770515053802,0.561402004107228,0.55053613053613,0.543018435974188,0.564537375287504,0.0106820551162032,0.220390864802456
"131",130,171,0.05,90,30,8,0.835412315054697,0.596666666666667,0.578648018648019,0.580070936710384,0.575439183509508,0.00599812822000514,0.202372189067335
"132",131,341,0.05,90,30,9,0.827454565203937,0.593461712416936,0.547505827505828,0.568137868762435,0.565686688003573,0.00318545216356508,0.201659838847496
"133",132,683,0.05,90,30,10,0.825746215264466,0.576054396423249,0.510955710955711,0.540100250626566,0.562505260573903,0.00262330306757109,0.21141164163133
"134",133,21,0.05,90,31,5,0.848591646765136,0.568749323921071,0.66951048951049,0.613514656947367,0.598477242619062,0.0417901358072793,0.207670862549633
"135",134,43,0.05,90,31,6,0.843653187362364,0.582067951380296,0.614452214452214,0.59692127315409,0.587466836947212,0.0213627121038557,0.203169167258243
"136",135,85,0.05,90,31,7,0.842601434655521,0.613393526551421,0.611375291375291,0.60920872039076,0.592055253971331,0.00936979260089956,0.191144766158226
"137",136,171,0.05,90,31,8,0.84075304660202,0.575043267321795,0.614731934731935,0.588510859600687,0.588254339553994,0.00468515807911151,0.212880515896483
"138",137,341,0.05,90,31,9,0.833658850385613,0.571560736660194,0.605501165501166,0.583304292477225,0.571812897710648,0.00393539369801755,0.212856390515111
"139",138,683,0.05,90,31,10,0.839167255416701,0.572981622207628,0.528624708624709,0.544487606020962,0.57593303091991,0.00318580317746874,0.213667217683652
"140",139,21,0.05,90,32,5,0.83171296234101,0.553650933456176,0.681864801864802,0.607823444456993,0.576260746433783,0.0419819810404154,0.217328433443158
"141",140,43,0.05,90,32,6,0.832462203740466,0.551381107811177,0.584055944055944,0.563447575824076,0.569279953475016,0.020614344534187,0.216639914392723
